time,city,row,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
2016-12-12 12:06:39,Chicago,1349,41.85003,-87.65005,4EMFcGPA5hGB_BzRy13KCQ,"Snow, Frigid Temperatures Hit Much of Northern U.S.",2016-12-12 12:06:39,Other,moderate,"(41.850029999999997, -87.650049999999993)",4.0,Chicago,1.0
2016-12-12 12:12:14,Maiduguri,1379,11.846919999999999,13.15712,XKS_N2TA5hGCYRvRy13KCQ,Girls 'aged 7 or 8' stage suicide attack in Nigeria,2016-12-12 12:12:14,Physical Threats,high,"(11.846919999999999, 13.157120000000001)",16.0,Maiduguri,1.0
2016-12-12 12:21:15,Omaha,1566,41.50028,-99.75067,trQCemXA5hGAsBnRy13KCQ,"Man, 53, wounded in officer-related shooting at York hospital",2016-12-12 12:21:15,Physical Threats,moderate,"(41.500279999999997, -99.75067)",4.0,Omaha,1.0
2016-12-12 13:04:21,The Bronx,1645,41.63538,-72.76871,6CQtf2vA5hGIj6ECZNc2RA,Radio pirates hijack classical station to preach the Torah,2016-12-12 13:04:21,Physical Threats,medium,"(41.635379999999998, -72.768709999999999)",9.0,The Bronx,1.0
2016-12-12 13:07:13,Surrey,1607,49.0963,-122.62299999999999,hAfe5WvA5hGkBBvRy13KCQ,VIDEO: Fire forces evacuation of Langley City apartment building,2016-12-12 13:07:13,Natural Disaster,moderate,"(49.096299999999999, -122.62299999999999)",4.0,Surrey,1.0
2016-12-12 13:09:10,Kayseri,1605,39.0,35.0,nmn9K2zA5hGYmxrRy13KCQ,Erdogan’s clampdown fuelling Turkey’s year of terror,2016-12-12 13:09:10,Physical Threats,moderate,"(39.0, 35.0)",4.0,Kayseri,1.0
2016-12-12 13:10:15,Mogadishu,1741,6.0,48.0,bu1zUmzA5hGNsqECZNc2RA,AU Special Representative condemns attack on innocent civilians in Mogadishu,2016-12-12 13:10:15,Physical Threats,extreme,"(6.0, 48.0)",25.0,Mogadishu,1.0
2016-12-12 13:10:44,Ḩamāh,1744,35.0,38.0,hG2kY2zA5hGIMaECZNc2RA,The Latest: Russia shows special forces in action in Syria,2016-12-12 13:10:44,Geopolitical,medium,"(35.0, 38.0)",9.0,Ḩamāh,1.0
2016-12-12 13:16:38,Manukau City,1710,-38.65333,178.00417,IFL1Nm3A5hGwBhvRy13KCQ,"Light plane crashes near Gisborne, one on board",2016-12-12 13:16:38,Other,moderate,"(-38.653329999999997, 178.00416999999999)",4.0,Manukau City,1.0
2016-12-12 13:16:46,Manukau City,1770,-38.65333,178.00417,LOmOO23A5hGvcKQCZNc2RA,Plane crashes in Gisborne District,2016-12-12 13:16:46,Other,moderate,"(-38.653329999999997, 178.00416999999999)",4.0,Manukau City,1.0
2016-12-12 14:06:31,Preston,1988,54.75844,-2.6953099999999997,3urvLnTA5hGUHRvRy13KCQ,British shoppers to be protected by concrete barriers over suicide bomber fears,2016-12-12 14:06:31,Physical Threats,moderate,"(54.75844, -2.6953099999999997)",4.0,Preston,1.0
2016-12-12 14:08:05,Maiduguri,1856,11.09826,12.76417,lmboZnTA5hGQKxzRy13KCQ,Finish-off Boko Haram – Buratai charges troops,2016-12-12 14:08:05,Physical Threats,high,"(11.09826, 12.76417)",16.0,Maiduguri,1.0
2016-12-12 14:08:19,Chicago,1867,41.46588,-85.58748,xF0zb3TA5hGRZaICZNc2RA,Northern Indiana authorities uncover high school drug ring,2016-12-12 14:08:19,Crime,medium,"(41.465879999999999, -85.587479999999999)",9.0,Chicago,1.0
